f1,f2,f3,f4,f5,val_score
freq_cross_last_50000,abs_q05,modified_sta_lta5_mean,mean_change_rate_first_10000,q05_roll_std_100,2.319525718688965
abs_q05,classic_sta_lta4_q95,q05_roll_std_10,modified_sta_lta1_q95,q95_roll_mean_10,2.3260207176208496
max_last_10000,modified_sta_lta2_q05,q05_roll_std_100,abs_q05,modified_sta_lta6_q95,2.327433824539185
abs_q05,q05_roll_std_10,Imin,modified_sta_lta1_q95,av_change_rate_roll_mean_100_v2,2.3279871940612797
q05_roll_std_10,modified_sta_lta3_q95,min_roll_std_100,q05_roll_std_100,modified_sta_lta6_q95,2.334773063659668
modified_sta_lta5_q05,classic_sta_lta5_q05,q05_roll_std_100,avg_first_50000,abs_q05,2.3353726863861084
q05_roll_std_10,av_change_rate_roll_mean_100,Imean,min_roll_std_100,modified_sta_lta1_q95,2.336421251296997
MA_400MA_std_mean,av_change_abs_roll_mean_100,q05_roll_std_100,q99_roll_std_100,modified_sta_lta1_q95,2.33887791633606
max_first_10000,abs_min,q05_roll_std_10,modified_sta_lta1_q95,abs_max,2.3393940925598145
modified_sta_lta8_q95,q05_roll_std_10,av_change_abs_roll_mean_100,classic_sta_lta7_q95,modified_sta_lta1_q95,2.339931011199951
max_first_50000,MA_700MA_std_mean,q05_roll_std_10,max_to_min_diff,abs_q05,2.340362310409546
q99_roll_mean_1000,classic_sta_lta5_mean,q05_roll_std_1000,Moving_average_3000_mean,q05_roll_std_10,2.340447187423706
q001,kurt,modified_sta_lta5_mean,q05_roll_std_10,modified_sta_lta1_q95,2.3409368991851807
q05_roll_std_1000,min_first_50000,av_change_rate_roll_std_1000,MA_700MA_BB_high_mean,classic_sta_lta1_q95,2.3410494327545166
abs_q05,avg_last_50000,q05_roll_std_10,modified_sta_lta5_mean,classic_sta_lta2_q05,2.3411641120910645
std,std_last_50000,abs_q99,modified_sta_lta1_q95,q05_roll_std_100,2.3414814472198486
min_roll_std_10,q05_roll_std_1000,q95,q05_roll_mean_100,modified_sta_lta6_q95,2.341525793075561
q05_roll_std_10,mean_abs_diff,q95_roll_std_1000,q05_roll_std_1000,Moving_average_3000_mean,2.3420543670654297
modified_sta_lta1_q95,q05_roll_std_100,max_roll_std_100,max_roll_mean_10,max_first_10000,2.342128038406372
modified_sta_lta6_q95,Rstd,classic_sta_lta3_q05,ave_roll_std_1000,q05_roll_std_100,2.3421306610107417
av_change_abs_roll_mean_10,mean_change_rate_last_10000_v2,abs_q05,av_change_abs_roll_std_10,q05_roll_std_100,2.342190742492676
q05_roll_std_100,q05,modified_sta_lta1_q95,max_to_min,max_roll_mean_100,2.342458724975586
mean,abs_q05,mean_change_rate_v2,classic_sta_lta3_q95,q05_roll_mean_10,2.343160390853882
av_change_rate_roll_std_100,mad,classic_sta_lta7_q05,abs_q05,q05_roll_std_10,2.343520402908325
classic_sta_lta1_q95,q95_roll_mean_10,MA_700MA_BB_low_mean,ave_roll_std_1000,q05_roll_std_1000,2.343658685684204
max_first_50000,ave_roll_std_10,mean_change_rate_first_10000,modified_sta_lta5_mean,q05_roll_std_10,2.344081401824951
av_change_rate_roll_mean_1000_v2,av_change_abs_roll_mean_100,q05_roll_std_100,Rmean_last_5000,abs_q05,2.344310760498047
q05_roll_std_100,modified_sta_lta8_q95,mean_change_rate_v2,abs_q05,max_last_50000,2.344473600387573
q95_roll_mean_10,modified_sta_lta4_mean,std_first_10000,q05_roll_std_100,modified_sta_lta5_q05,2.344771385192871
exp_Moving_average_30000_mean,ave_roll_mean_1000,ave_roll_std_10,q05_roll_std_1000,classic_sta_lta1_q95,2.3448107242584233
Rmin_last_5000,q05_roll_std_100,modified_sta_lta1_q95,max,min_roll_std_100,2.3448164463043213
q05_roll_std_10,abs_q05,q99_roll_std_100,MA_700MA_BB_high_mean,min_roll_std_100,2.344886064529419
max_roll_mean_100,min_roll_mean_10,q05_roll_std_100,q95_roll_std_10,abs_q05,2.344956159591675
mean_change_rate_last_10000_v2,abs_trend,q01_roll_std_10,q05_roll_std_1000,modified_sta_lta5_q95,2.3451833724975586
std_roll_mean_10,Rmax_last_5000,av_change_abs_roll_mean_10,q05_roll_std_1000,modified_sta_lta5_mean,2.345262050628662
Moving_average_1500_mean,abs_q05,q05_roll_std_1000,max_first_50000,av_change_rate_roll_mean_10,2.345367670059204
Imin,mean_change_rate_first_50000,modified_sta_lta1_q95,max_roll_std_1000,q05_roll_std_10,2.3454370498657227
classic_sta_lta8_mean,max_last_50000,q01,classic_sta_lta1_q95,q05_roll_std_100,2.345658779144287
modified_sta_lta5_q05,q05_roll_std_100,max_last_50000,MA_700MA_BB_high_mean,Rmax_last_15000,2.3460898399353027
q05_roll_std_100,abs_q05,q95_roll_std_100,q05_roll_mean_100,abs_max_roll_mean_1000,2.346149682998657
q95,modified_sta_lta4_q95,q05_roll_std_10,modified_sta_lta5_mean,med,2.3461756706237797
q05_roll_std_100,classic_sta_lta2_mean,ave_roll_std_1000,av_change_abs_roll_std_1000,classic_sta_lta1_q95,2.346216917037964
av_change_abs_roll_mean_100,mean_change_rate_v2,q05_roll_std_10,classic_sta_lta5_mean,q05_roll_std_1000,2.346304416656494
trend,modified_sta_lta1_q95,modified_sta_lta5_q95,MA_400MA_BB_low_mean,q05_roll_std_10,2.3463566303253174
q05_roll_std_100,max_to_min,classic_sta_lta1_q05,abs_q05,q99_roll_std_100,2.3463659286499023
q05_roll_std_1000,min_last_50000,exp_Moving_average_30000_mean,freq_cross_last_10000,freq_cross_first_10000,2.3464643955230717
av_change_rate_roll_mean_10_v2,q05_roll_std_10,med,modified_sta_lta1_q95,classic_sta_lta3_q95,2.346475601196289
q05_roll_std_10,classic_sta_lta7_mean,iqr,classic_sta_lta5_mean,std_last_50000,2.346545457839966
q99,max,classic_sta_lta6_q95,q05_roll_std_10,q01_roll_mean_10,2.3467159271240234
skew,min_first_50000,classic_sta_lta6_q95,q05_roll_std_10,classic_sta_lta7_q95,2.3469226360321045
Rmean_last_5000,q01_roll_std_10,q95_roll_mean_1000,q05_roll_std_1000,min_last_10000,2.3469443321228027
av_change_rate_roll_mean_10,freq_cross_last_50000,Imax,abs_q05,q05_roll_std_1000,2.3470089435577397
q95,modified_sta_lta7_mean,max_roll_std_10,max_roll_std_1000,q05_roll_std_1000,2.34722113609314
mean_change_rate_last_10000_v2,max_last_10000,classic_sta_lta5_mean,q05_roll_std_100,abs_trend,2.347257375717163
q05_roll_std_10,min_last_10000,std_roll_mean_10,av_change_abs_roll_std_10,q05_roll_std_1000,2.3473570346832275
q05_roll_std_1000,abs_max_roll_mean_100,q05_roll_std_10,max_first_10000,modified_sta_lta3_q95,2.347461700439453
q05_roll_std_1000,q95_roll_mean_1000,modified_sta_lta3_q95,freq_cross_last_50000,modified_sta_lta1_q95,2.3475067615509038
q05_roll_std_100,classic_sta_lta1_q95,min_first_50000,min,abs_max_roll_mean_1000,2.3475546836853027
q95_roll_std_100,abs_mean,max_last_50000,q05_roll_std_100,freq_cross_last_10000,2.3476693630218506
q05_roll_std_100,av_change_abs_roll_std_10,abs_q05,av_change_abs_roll_std_100,max_to_min,2.3477919101715092
std_roll_mean_1000,abs_q05,q05_roll_std_100,min_last_50000,MA_700MA_std_mean,2.347827911376953
std_last_10000,abs_q05,Imax,max,q05_roll_std_1000,2.34785532951355
abs_q05,q05_roll_std_1000,freq_cross_last_50000,mean_change_rate_first_10000,q999,2.348111867904663
q05_roll_std_100,q95_roll_mean_1000,trend,min,modified_sta_lta1_q95,2.3482825756073
abs_max_roll_std_100,q05_roll_std_10,Istd,abs_q05,ave_roll_std_100,2.3484065532684326
mean_change_rate_v2,classic_sta_lta1_mean,MA_1000MA_std_mean,abs_q05,q05_roll_std_100,2.348495483398437
q95_roll_mean_10,abs_q05,kurt,q05_roll_std_1000,min_first_10000,2.3485641479492188
classic_sta_lta4_mean,q05_roll_std_100,classic_sta_lta1_q95,modified_sta_lta5_q05,mean_change_rate_v2,2.34867525100708
modified_sta_lta1_q95,modified_sta_lta6_q05,modified_sta_lta3_q05,q05_roll_std_1000,ave_roll_std_100,2.348698616027832
q95,modified_sta_lta6_q95,q05_roll_std_10,q99,classic_sta_lta2_q95,2.3487489223480225
q95,q05_roll_std_1000,q95_roll_std_1000,MA_700MA_std_mean,skew,2.348785161972046
std_roll_mean_1000,abs_max_roll_mean_100,classic_sta_lta1_q95,q05_roll_std_10,Rmax_last_5000,2.3489882946014404
classic_sta_lta7_mean,ave10,classic_sta_lta1_q95,MA_700MA_BB_low_mean,q05_roll_std_100,2.3490304946899414
MA_400MA_BB_high_mean,classic_sta_lta2_q05,modified_sta_lta5_mean,q05_roll_std_1000,std_roll_std_1000,2.349177837371826
max_roll_mean_100,q01_roll_std_10,classic_sta_lta1_q95,Imean,q05_roll_std_10,2.349215030670166
q99_roll_mean_100,q05_roll_std_10,Moving_average_30000_mean,q01_roll_std_10,q05_roll_std_1000,2.34924864768982
max_to_min_diff,modified_sta_lta1_q95,max_last_10000,q05_roll_std_100,av_change_rate_roll_std_100,2.349270820617676
q05_roll_std_1000,ave10,freq_cross_last_50000,modified_sta_lta2_q05,abs_max_roll_std_100,2.349329710006714
std_last_10000,Rmin_last_15000,q95,abs_max_roll_mean_1000,q05_roll_std_1000,2.34935998916626
av_change_rate_roll_std_10,ave_roll_std_10,abs_q05,q05_roll_std_100,mean_change_rate_last_50000_v2,2.3493967056274414
modified_sta_lta3_q05,freq_cross_last_10000,std_first_50000,mean_change_rate_first_10000_v2,q95_roll_mean_10,2.349461078643799
classic_sta_lta7_mean,med,max_last_10000,classic_sta_lta8_q05,q05_roll_std_100,2.349581241607666
ave_roll_mean_10,min_roll_std_100,max_last_50000,modified_sta_lta6_q95,q05_roll_std_100,2.349656343460083
q05_roll_std_100,min_first_10000,iqr,classic_sta_lta4_q95,abs_q05,2.349728584289551
modified_sta_lta1_q95,q95_roll_mean_100,max_to_min_diff,modified_sta_lta7_q95,q05_roll_std_1000,2.3498284816741943
Istd,ave_roll_mean_100,abs_max_roll_mean_10,q05_roll_std_1000,q05_roll_std_10,2.34989070892334
classic_sta_lta6_q95,q05_roll_std_1000,av_change_abs_roll_mean_10,q05_roll_std_100,q001,2.349937438964844
min_roll_mean_100,q01_roll_mean_10,q01_roll_std_10,modified_sta_lta8_mean,q05_roll_std_1000,2.3499748706817627
avg_last_10000,abs_mean,q05,modified_sta_lta1_q95,q05_roll_std_10,2.3500030040740967
mean_diff,modified_sta_lta5_q05,classic_sta_lta2_q05,modified_sta_lta7_mean,q05_roll_std_10,2.350005865097046
classic_sta_lta4_q05,q95_roll_mean_100,q01_roll_std_10,q05_roll_std_1000,min_first_50000,2.3500990867614746
modified_sta_lta5_q05,mean,modified_sta_lta2_q95,q05_roll_std_100,std_last_50000,2.3501076698303223
q05_roll_std_10,classic_sta_lta5_q05,modified_sta_lta1_q95,q05_roll_mean_100,av_change_rate_roll_std_10,2.350155830383301
min_first_50000,q05_roll_std_100,Imean,classic_sta_lta2_q05,classic_sta_lta5_mean,2.350207805633545
classic_sta_lta1_q95,q05_roll_std_10,mean_change_rate_first_10000,Rstd_last_15000,abs_std,2.350271224975586
q05_roll_std_1000,av_change_rate_roll_std_10v2,iqr,modified_sta_lta1_q95,kurt,2.350382804870605
mean_change_rate_v2,Moving_average_3000_mean,abs_q05,mean_abs_diff,Istd,2.3504469394683842
q05_roll_std_100,std_last_50000,modified_sta_lta4_mean,abs_max_roll_mean_1000,classic_sta_lta5_mean,2.3507614135742188
std_first_10000,q05_roll_std_10,q01_roll_mean_100,q001,q05_roll_std_1000,2.3507871627807617
abs_max_roll_std_100,q05_roll_std_1000,q05_roll_mean_100,classic_sta_lta1_q95,classic_sta_lta1_mean,2.350905179977417
q99,av_change_abs_roll_std_10,ave_roll_std_10,modified_sta_lta5_mean,mad,2.350916147232056
abs_q05,Moving_average_6000_mean,modified_sta_lta2_q95,q05_roll_std_100,modified_sta_lta4_mean,2.35092830657959
